feedback_id,feedback_text,source,date_submitted
FB-104,"Compared 5 PM tools and Orbit won on simplicity",app_store_review,2025-12-24
FB-105,"The automation rules are powerful but the UI for setting them up is clunky",in_app_survey,2025-12-24
FB-106,"Need role-based permissions — not everyone should edit everything",feature_request_form,2025-12-25
FB-107,"My tasks keep reordering themselves randomly after refresh",support_ticket,2025-12-25
FB-108,"Markdown support in descriptions is great but needs tables",feature_request_form,2025-12-26
FB-109,"First tool our sales team adopted voluntarily — that says a lot",in_app_survey,2025-12-26
FB-110,"Import from Asana failed completely — no error message, just blank screen",support_ticket,2025-12-27
FB-111,"Gantt chart needs milestones, not just tasks",feature_request_form,2025-12-27
FB-112,"Honestly the customer support alone is worth the subscription",app_store_review,2025-12-28
FB-113,"When are you adding AI features? Every competitor has them now",feature_request_form,2025-12-28
FB-114,"The archive function should let me search archived items too",feature_request_form,2025-12-29
FB-115,"Touch ID login on mobile would be nice",feature_request_form,2025-12-29
FB-116,"We need GDPR compliance docs before legal approves the tool",support_ticket,2025-12-30
FB-117,"Dashboard loads slowly when you have 100+ tasks — needs pagination or lazy loading",support_ticket,2025-12-30
FB-118,"PLEASE fix the Android app before adding new features",app_store_review,2025-12-31
FB-119,"Our design team wants a Kanban board with image previews on cards",feature_request_form,2025-12-31
FB-120,"Accidentally assigned a task to someone from another project — permission leak?",support_ticket,2026-01-01
FB-121,"The progress bar on projects is motivating — small thing but love it",in_app_survey,2026-01-01
FB-122,"Can I hide completed tasks without deleting them?",support_ticket,2026-01-02
FB-123,"Orbit needs a desktop app — browser tabs get lost",feature_request_form,2026-01-02
FB-124,"Love the weekly goals feature. Keeps me focused",in_app_survey,2026-01-03
FB-125,"The mobile app needs offline mode desperately",feature_request_form,2026-01-03
FB-126,"Comments don't support @ mentions on mobile",support_ticket,2026-01-04
FB-127,"Why does the due date picker not have a 'today' shortcut?",in_app_survey,2026-01-04
FB-128,"Need GitHub integration for our engineering tasks",feature_request_form,2026-01-05
FB-129,"Video attachments won't play in-app — have to download first",support_ticket,2026-01-05
FB-130,"Switched my whole freelance workflow to Orbit. 10/10",app_store_review,2026-01-06
FB-131,"The project summary AI feature is underwhelming — just restates tasks",in_app_survey,2026-01-06
FB-132,"Need ability to lock task fields so only admins can edit certain things",feature_request_form,2026-01-07
FB-133,"Copy-paste from Google Docs into task description strips all formatting",support_ticket,2026-01-07
FB-134,"A resource management view would make this a complete PM tool",feature_request_form,2026-01-08
FB-135,"Love the color themes — the purple one is my favorite",in_app_survey,2026-01-08
FB-136,"The Chrome extension for clipping emails into tasks would be amazing",feature_request_form,2026-01-09
FB-137,"Two of my projects merged somehow — data integrity issue??",support_ticket,2026-01-09
FB-138,"We use Orbit for wedding planning. Works great for personal stuff too!",app_store_review,2026-01-10
FB-139,"Due date reminders should be customizable — not just 'day before'",feature_request_form,2026-01-10
FB-140,"The empty state for new projects should suggest a template",in_app_survey,2026-01-11
FB-141,"Can't change my email address in account settings — button does nothing",support_ticket,2026-01-11
FB-142,"Subtask progress should roll up to the parent task percentage",feature_request_form,2026-01-12
FB-143,"The tutorial videos on YouTube are outdated — please update them",support_ticket,2026-01-12
FB-144,"Our CEO checks the executive dashboard daily — please don't change it",in_app_survey,2026-01-13
FB-145,"Need to set task dependencies — 'Task B starts when Task A completes'",feature_request_form,2026-01-13
FB-146,"The invite link expires too quickly — team members can't join",support_ticket,2026-01-14
FB-147,"Gorgeous UI. Finally a PM tool that doesn't look like it's from 2010",app_store_review,2026-01-14
FB-148,"Integration with Zapier would open up so many automations",feature_request_form,2026-01-15
FB-149,"Starred/favorited tasks should sync across devices. They don't",support_ticket,2026-01-15
FB-150,"Can Orbit do capacity planning? Need to see team availability",feature_request_form,2026-01-16
FB-151,"Stop sending me marketing emails when I'm already a paying customer",in_app_survey,2026-01-16
FB-152,"The chart colors in reports are too similar — hard to distinguish",support_ticket,2026-01-17
FB-153,"Adding a 'blocked' status for tasks would be super useful",feature_request_form,2026-01-17
FB-154,"We demoed Orbit to 3 other teams and they all signed up",in_app_survey,2026-01-18
FB-155,"Task descriptions have a character limit?? Hit it writing a spec",support_ticket,2026-01-18
FB-156,"Multi-language support for the interface would help our global team",feature_request_form,2026-01-19
FB-157,"The activity feed is noisy — need filters for 'meaningful changes only'",in_app_survey,2026-01-19
FB-158,"Can't resize columns in the table view — they're too narrow for long task names",support_ticket,2026-01-20
FB-159,"A public roadmap of upcoming features would build trust",feature_request_form,2026-01-20
FB-160,"Love how lightweight it feels compared to heavyweight PM tools",app_store_review,2026-01-21
FB-161,"When I duplicate a task, the attachments don't copy over",support_ticket,2026-01-21
FB-162,"Need a 'review and approve' workflow for content tasks",feature_request_form,2026-01-22
FB-163,"The recent items shortcut is clutch when I have 20 projects",in_app_survey,2026-01-22
FB-164,"Please add an 'effort' or 'story points' field to tasks",feature_request_form,2026-01-23
FB-165,"The page just shows 'something went wrong' — no details, no way to report it",support_ticket,2026-01-23
FB-166,"Orbit + our Slack channel = productivity dream team",in_app_survey,2026-01-24
FB-167,"Would love to embed Orbit tasks in Notion pages",feature_request_form,2026-01-24
FB-168,"Login page sometimes redirects to a 404 after SSO",support_ticket,2026-01-25
FB-169,"Started using Orbit for my side projects too. That's the highest compliment",app_store_review,2026-01-25
FB-170,"Relative due dates like 'T+3 days from task creation' would help with templates",feature_request_form,2026-01-26
FB-171,"Honestly? Nothing major to complain about. Just keep improving",in_app_survey,2026-01-26
FB-172,"The progress tracking has transformed how we run client projects",in_app_survey,2026-01-27
FB-173,"Custom notification schedules — I only want pings during work hours",feature_request_form,2026-01-27
FB-174,"Image attachments don't show thumbnails in list view",support_ticket,2026-01-28
FB-175,"Referral program? I'd happily refer 5 teams",in_app_survey,2026-01-28
FB-176,"Need approval workflows for budget-related tasks",feature_request_form,2026-01-29
FB-177,"The drag handle on mobile is too small — hard to reorder tasks",support_ticket,2026-01-29
FB-178,"Orbit feels like it was designed by people who actually manage projects",app_store_review,2026-01-30
FB-179,"The calendar view should show tasks from all projects by default",feature_request_form,2026-01-30
FB-180,"Status page for uptime/incidents would be reassuring",feature_request_form,2026-01-31
FB-181,"Auto-save on task edits please — I lost a long description because I navigated away",support_ticket,2026-01-31
FB-182,"The performance has improved SO much since last quarter. Thank you!",in_app_survey,2026-02-01
FB-183,"A global inbox for all my mentions and assignments across projects",feature_request_form,2026-02-01
FB-184,"Keyboard navigation in the board view doesn't work",support_ticket,2026-02-02
FB-185,"We built our entire Q1 plan in Orbit. The timeline feature sealed it",in_app_survey,2026-02-02
FB-186,"Support for right-to-left languages (Arabic, Hebrew)",feature_request_form,2026-02-03
FB-187,"The confetti animation when completing a project is delightful",in_app_survey,2026-02-03
FB-188,"Please add a way to link related tasks across different projects",feature_request_form,2026-02-04
FB-189,"Data export is incomplete — comments and attachments don't come through",support_ticket,2026-02-04
FB-190,"The quick-add feature understands natural language dates which is magic",in_app_survey,2026-02-05
FB-191,"Would love to set goals that auto-calculate progress from linked tasks",feature_request_form,2026-02-05
FB-192,"My entire team agrees: Orbit is the one tool we couldn't give up",app_store_review,2026-02-06
FB-193,"Webhook support for custom integrations please",feature_request_form,2026-02-06
FB-194,"The onboarding checklist helped but I still don't get how automations work",in_app_survey,2026-02-07
FB-195,"Can't export a single project — it's all-or-nothing which is annoying",support_ticket,2026-02-07
FB-196,"A dark mode with OLED black option would be amazing for late nights",feature_request_form,2026-02-08
FB-197,"Orbit just works. No setup headaches, no consultants needed",app_store_review,2026-02-08
FB-198,"Need email-to-task: forward an email and it becomes a task",feature_request_form,2026-02-09
FB-199,"Timer keeps resetting when I switch between tasks — time tracking bug",support_ticket,2026-02-09
FB-200,"Truly the best PM tool for small teams. Period.",app_store_review,2026-02-10
