original_text,frequency,source
Acct Manager,1,crm_sync
biz analyst,1,crm_sync
Ing. de Software,1,manual_entry
Ingeniero/a de Software,1,manual_entry
Sr. Financial Analyst,1,crm_sync
Jr. Data Analyst,1,crm_sync
Data Analytics,1,crm_sync
Head of Product,1,linkedin_import
Director of Engineering,1,linkedin_import
Directeur Technique,1,manual_entry
VP Engineering,1,linkedin_import
Responsable Ingeniería,1,manual_entry
Chief Product Officer,1,linkedin_import
CPO,1,crm_sync
design lead,1,crm_sync
UX/UI designer,1,crm_sync
Diseñador de Interfaces,1,manual_entry
Konzeptdesigner,1,manual_entry
Cloud Infrastructure Engineer,1,linkedin_import
Arquitecto de Soluciones,1,manual_entry
Lösungsarchitekt,1,manual_entry
Talent Acquisition,1,crm_sync
Recruiter,1,linkedin_import
Reclutador/a,1,manual_entry
People Operations,1,linkedin_import
HRBP,1,crm_sync
Customer Success Manager,1,linkedin_import
Responsable de Éxito del Cliente,1,manual_entry
CSM,1,crm_sync
Growth Manager,1,linkedin_import
Responsable de Crecimiento,1,manual_entry
Wachstumsmanager,1,manual_entry
Jefe de Ventas,1,manual_entry
Vertriebsleiter,1,manual_entry
Directeur Commercial,1,manual_entry
Sales Director,1,linkedin_import
Security Engineer,1,linkedin_import
Ingeniero de Seguridad,1,manual_entry
Sicherheitsingenieur,1,manual_entry
Mobile Developer,1,linkedin_import
Desarrollador Móvil,1,manual_entry
iOS Developer,1,linkedin_import
Android Developer,1,linkedin_import
Agile Coach,1,linkedin_import
Program Manager,1,linkedin_import
Director de Programa,1,manual_entry
Programmleiter,1,manual_entry
Chief Financial Officer,1,linkedin_import
CFO,1,crm_sync
Directeur Financier,1,manual_entry
Controller,1,linkedin_import
Contrôleur de Gestion,1,manual_entry
Tesorero,1,manual_entry
Operations Manager,1,linkedin_import
Gerente de Operaciones,1,manual_entry
Betriebsleiter,1,manual_entry
Responsable Opérations,1,manual_entry
Supply Chain Manager,1,linkedin_import
Responsable de Cadena de Suministro,1,manual_entry
Procurement Specialist,1,linkedin_import
Especialista en Compras,1,manual_entry
Legal Counsel,1,linkedin_import
Asesor Legal,1,manual_entry
Compliance Officer,1,linkedin_import
Responsable de Cumplimiento,1,manual_entry
Datenschutzbeauftragter,1,manual_entry
Technical Writer,1,linkedin_import
Redactor Técnico,1,manual_entry
Community Manager,1,linkedin_import
Social Media Manager,1,linkedin_import
Responsable de Redes Sociales,1,manual_entry
Brand Manager,1,linkedin_import
Responsable de Marca,1,manual_entry
SEO Specialist,1,linkedin_import
Especialista SEO,1,manual_entry
Performance Marketing,1,crm_sync
Paid Media Specialist,1,linkedin_import
CRM Manager,1,linkedin_import
Responsable CRM,1,manual_entry
Administrateur Base de Données,1,manual_entry
Datenbankadministrator,1,manual_entry
Administrador de Base de Datos,1,manual_entry
AI Engineer,1,linkedin_import
Ingeniero de IA,1,manual_entry
NLP Engineer,1,linkedin_import
Research Scientist,1,linkedin_import
Científico de Investigación,1,manual_entry
Chercheur Scientifique,1,manual_entry
Forschungswissenschaftler,1,manual_entry
